#SampleID	Description	Unassigned	Other	Actinobacteria	Bacteroidetes	Cyanobacteria	Firmicutes	Proteobacteria	Tenericutes	Verrucomicrobia
Plate3-A8	dPD, 8 days	0.1056	0	0	0.3664	0	0.5008	0.0032	0.024	0
Plate3-B8	dPD, 8 days	0.0956816257	0	0	0.2946655377	0	0.5715495343	0.0016934801	0.0364098222	0
Plate3-C8	dPD, 8 days	0.1078147612	0	0	0.3256150507	0	0.5658465991	0.000723589	0	0
Plate3-D8	dPD, 8 days	0.0784955029	0	0	0.2534750613	0	0.6328699918	0.001635323	0.033524121	0
Plate3-E8	dPD, 8 days	0.0889801506	0	0	0.3518138261	0	0.5550992471	0.0034223135	0	0.0006844627
Plate3-F8	dPD, 8 days	0.1156462585	0	0	0.343537415	0	0.1394557823	0.4013605442	0	0
Plate3-G8	dPD, 8 days	0.2086330935	0	0	0.2446043165	0	0.1942446043	0.2949640288	0.0575539568	0
Plate3-H8	dPD, 8 days	0.1285714286	0	0	0.2261904762	0	0.2238095238	0.319047619	0.1	0.0023809524
Plate3-H9	dN, 12 days	0.0907310705	0	0	0.3466057441	0	0.5254569191	0.0365535248	0.0006527415	0
Plate3-A10	dN, 12 days	0.1115537849	0	0	0.3924302789	0	0.4701195219	0.0258964143	0	0
Plate3-B10	dN, 12 days	0.1324200913	0	0	0.3534246575	0	0.296803653	0.2127853881	0.001826484	0.002739726
Plate3-C10	dN, 12 days	0.1309309309	0.0006006006	0	0.3171171171	0	0.5069069069	0.0384384384	0.003003003	0.003003003
Plate3-D10	dN, 12 days	0.0308022923	0	0	0.0010744986	0	0.0257879656	0.5555157593	0.2396131805	0.1472063037
Plate3-E10	dN, 12 days	0.0334478809	0	0	0.0009163803	0	0.0332187858	0.66139748	0.0932416953	0.1777777778
Plate3-F10	dN, 12 days	0.0455357143	0	0	0.000297619	0	0.0660714286	0.4375	0.3205357143	0.1300595238
Plate3-G10	dN, 12 days	0.04511895	0	0	0.0024610336	0	0.0250205086	0.4963084495	0.2690730107	0.1620180476
Plate3-H10	dPD, 12 days	0.1393442623	0	0	0.4163934426	0	0.2327868852	0.0032786885	0.0049180328	0.2032786885
Plate3-A11	dPD, 12 days	0.1034482759	0	0	0.3348659004	0	0.3777777778	0.0114942529	0.0176245211	0.154789272
Plate3-B11	dPD, 12 days	0.1117886179	0.0010162602	0	0.3445121951	0	0.3831300813	0.006097561	0.012195122	0.1412601626
Plate3-C11	dPD, 12 days	0.1069142125	0	0	0.395006402	0	0.3034571063	0.0006402049	0.0070422535	0.1869398207
Plate3-D11	dPD, 12 days	0.1061185468	0	0	0.3374760994	0	0.3929254302	0.0114722753	0.0009560229	0.1510516252
Plate3-E11	dPD, 12 days	0.0884104443	0	0	0.3385249656	0	0.3921209345	0.002290426	0.0004580852	0.1781951443
Plate3-F11	dPD, 12 days	0.0992622401	0	0	0.3775989269	0	0.2951039571	0.0026827632	0.0053655265	0.2199865862
Plate3-G11	dPD, 12 days	0.128992629	0	0	0.3648648649	0	0.2727272727	0.042997543	0.0073710074	0.183046683
Plate3-H12	dN, 15 days	0.2106598985	0	0.0025380711	0.4086294416	0	0.3248730964	0.0456852792	0.0076142132	0
Plate4-A1	dN, 15 days	0.0785123967	0	0	0.0991735537	0	0.1363636364	0.6652892562	0.0082644628	0.0123966942
Plate4-B1	dN, 15 days	0.1038961039	0	0	0.5398886827	0	0.2486085343	0.0909090909	0.0074211503	0.0092764378
Plate4-C1	dN, 15 days	0.0984204131	0	0	0.3450789793	0	0.4957472661	0.0510328068	0.0060753341	0.0036452005
Plate4-D1	dN, 15 days	0.0482708934	0	0	0.0028818444	0	0.0201729107	0.5742074928	0.174351585	0.1801152738
Plate4-E1	dN, 15 days	0.0304772858	0	0	0.0014376078	0	0.0322024152	0.6903392754	0.0454284071	0.2001150086
Plate4-F1	dN, 15 days	0.0363881402	0	0	0.0026954178	0	0.0242587601	0.5727762803	0.1199460916	0.24393531
Plate4-G1	dN, 15 days	0.0262751159	0	0	0.0030911901	0	0.0236991242	0.5708397733	0.1674394642	0.2086553323
Plate4-H1	dPD, 15 days	0.1089108911	0	0	0.3663366337	0	0.1762376238	0.0138613861	0.003960396	0.3306930693
Plate4-A2	dPD, 15 days	0.1463414634	0	0	0.3170731707	0	0.243902439	0.0365853659	0.0243902439	0.2317073171
Plate4-B2	dPD, 15 days	0.1448497854	0	0	0.3154506438	0	0.3465665236	0.0042918455	0.0010729614	0.1877682403
Plate4-C2	dPD, 15 days	0.1216216216	0	0	0.3918918919	0	0.285012285	0	0	0.2014742015
Plate4-D2	dPD, 15 days	0.1085271318	0	0	0.3624031008	0	0.2926356589	0.0087209302	0	0.2277131783
Plate4-E2	dPD, 15 days	0.1075129534	0	0	0.3613989637	0	0.268134715	0.0038860104	0.0006476684	0.2584196891
Plate4-F2	dPD, 15 days	0.1003236246	0	0	0.4563106796	0	0.1434735707	0.003236246	0	0.2966558792
Plate4-G2	dPD, 15 days	0.0796645702	0	0	0.4234800839	0	0.2368972746	0.0104821803	0.0041928721	0.2452830189
